seed,clean_smoke_iou,baseline_clean_smoke_iou,noise005_smoke_iou,baseline_noise005_smoke_iou,delta_clean,delta_noise005,drop,baseline_drop,robust_gain,no_fire_fp,baseline_no_fire_fp,no_fire_delta,clean_guard,no_fire_absolute,no_fire_relative,precision_component,robust_component,precision_pass,robust_pass,thermal_zero_fp,baseline_thermal_zero_fp,thermal_zero_fp_delta,rgb_zero_smoke_iou,baseline_rgb_zero_smoke_iou,rgb_zero_smoke_delta
203,0.7333465592456907,0.7174025183212167,0.5117451828235209,0.46479908958707983,0.01594404092447399,0.046946093236441055,0.22160137642216982,0.2526034287341369,0.031002052311967065,0.00017853655133928572,0.00027678571428571433,-9.824916294642861e-05,True,True,True,False,True,False,True,0.03726974051339286,0.0077230398995535715,0.029546700613839287,0.051014292313443045,0.0006981132942053103,0.05031617901923773
204,0.7211160859945052,0.7301623710704975,0.4167624741763709,0.30534062212190627,-0.009046285075992366,0.11142185205446464,0.30435361181813425,0.42482174894859126,0.12046813713045701,1.499720982142857e-06,9.416852678571428e-07,5.580357142857143e-07,True,True,True,False,True,False,True,0.00739109584263393,0.0017615094866071427,0.005629586356026787,0.04349771613178733,0.09510245704819889,-0.05160474091641156
205,0.736875579150997,0.7298110463983201,0.505655536593973,0.42746964199159326,0.007064532752676933,0.07818589460237974,0.231220042557024,0.3023414044067268,0.0711213618497028,7.847377232142856e-07,5.196707589285714e-06,-4.411969866071428e-06,True,True,True,False,True,False,True,0.0036363525390624997,0.0007025495256696429,0.0029338030133928567,0.025609402188589918,0.17757691816766205,-0.15196751597907213
