arm,seed,clean_smoke_iou,clean_background_iou,clean_miou_record_only,clean_S_record_only,clean_fire_full134_record_only,no_fire_joint_fp,deploy_parameters,gmacs_proxy,gmacs_change_percent,formal_latency_status,thermal_noise_002_smoke_iou,thermal_noise_002_S_record_only,thermal_noise_002_Fire_record_only,thermal_noise_005_smoke_iou,thermal_noise_005_S_record_only,thermal_noise_005_Fire_record_only,thermal_noise_010_smoke_iou,thermal_noise_010_S_record_only,thermal_noise_010_Fire_record_only,thermal_zero_smoke_iou,thermal_zero_S_record_only,thermal_zero_Fire_record_only,rgb_zero_smoke_iou,rgb_zero_S_record_only,rgb_zero_Fire_record_only
S1,200,0.659595706999305,0.8397339709329146,0.7430676270950036,0.6945128902820354,0.7294300735647659,0.00016165597098214286,7624323,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,0.6123068090605731,0.6769899900290063,0.7408339322683192,0.4866082611949644,0.6264491857007292,0.7572986986482494,0.19285982208887117,0.4333632965237527,0.6341338818615445,0.6695729335844751,0.3349732169944034,0.00024655770728131495,0.3833076301258254,0.29643149652787776,0.29474164328570857
S1,201,0.6930011121219836,0.8453484654862994,0.769481047744736,0.7348051910537592,0.7766092699855351,0.0002903355189732143,7624323,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,0.6701128598315595,0.7222956919433735,0.7664182081911042,0.5838762500714677,0.6786917510142774,0.7580731879448643,0.35744273876873767,0.5455282875902007,0.7181619675776385,0.6874981538566253,0.3437791554898778,4.895841708476804e-05,0.2909415289431557,0.39324024706085625,0.5299985942460748
S1,202,0.6890672538704016,0.8530159787310103,0.7618092442849774,0.7146769793422528,0.7402867048141041,0.0012490059988839286,7624323,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION,0.6257303988864973,0.6858258963826602,0.7494856621882162,0.5003576283839748,0.6306993365189394,0.7652436166036521,0.2684626830606499,0.5284033614082164,0.7940144999896497,0.689047762364102,0.3445290208522123,0.0,0.23646891540052994,0.3345987390922315,0.5820054361750662
R2,200,0.6843917150381346,0.8546643278262367,0.7574263507173336,0.7065964708863203,0.7288012267345058,4.5863560267857144e-05,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6227585431543191,0.678341166933875,0.7374455483031974,0.38372975222787453,0.5748337938710036,0.7642666710357847,0.07522225059825793,0.377189377354651,0.6460982630343347,0.6795338115106391,0.3398614344975429,0.00024357432883557892,0.1195243110232244,0.4397628703308557,0.7635684776776722
R2,201,0.6784389980890775,0.8360651944565671,0.764435895886318,0.7265910997915768,0.7747432014940762,0.0002367640904017857,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6392692946419951,0.7106203692836054,0.7836687983705692,0.5525718174156493,0.6722245620452421,0.7879752254314507,0.38766518925438886,0.5667570161982228,0.7300170482420354,0.6829643020944647,0.34152727514466613,8.026919879091328e-05,0.2720730099192122,0.2257323079224876,0.24443726685732944
R2,202,0.6906834206000448,0.8565693522424155,0.7363713138497621,0.6730433018236142,0.6554031830471836,0.00043736049107142856,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6311107493075536,0.6492175924572836,0.6729106562373719,0.4635766765419822,0.5855566879995765,0.7098646632281344,0.20745523604357383,0.4750123148326601,0.7310754812852718,0.6501550639223135,0.3251639464188556,0.00016811965530216718,0.30142210095829924,0.4151683452302087,0.566795983120967
R3,200,0.6513830563370634,0.8366077656630736,0.7364094311834359,0.683461114225687,0.7155391721143107,0.0003625662667410714,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6391605223657211,0.6798266976411782,0.7232333450142614,0.6135358311217585,0.6803918600808231,0.7417655256236377,0.5443849520181284,0.6594719270447003,0.7621856158194634,0.6195682025273919,0.3144872457261646,0.009778758916931397,0.08664407187546377,0.3832391261476188,0.703912714063304
R3,201,0.7045678294878516,0.8573276355971927,0.7690065511320027,0.7249781411986878,0.745388452909524,6.007603236607143e-05,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6962607432501671,0.7237298467497989,0.7505501395014085,0.6754495062253643,0.7165977735184639,0.7531477916389685,0.5530001799560462,0.6564771558116461,0.7394964456718209,0.6807986544812543,0.34055986096160795,0.0003547037044165124,0.032383797450882566,0.24591488619856977,0.48447075543131807
R3,202,0.6789296373868042,0.8444396998708784,0.7435285572218122,0.6812278871327535,0.6835261368787026,0.00010881696428571429,7624164,7.489264128,0.24562027995640515,DEFERRED_BY_AUTHORIZATION,0.6615046114261484,0.6746960200036476,0.7097885900478762,0.6205651111262486,0.6635245066940803,0.7220528438661178,0.5413323803574559,0.635279781878838,0.7336935500284614,0.6872540814384054,0.34714689673771276,0.005474315374136776,0.040327079871178645,0.344097682438953,0.673449491674172
