condition,metric,seed,Y_B0,Y_R1,Y_R2,Y_R3,R1_minus_B0,R2_minus_B0,interaction,Fire_used_for_decision
thermal_noise_002,smoke_iou_A001_A047,200,0.6764245389872071,0.647843987833682,0.6227585431543191,0.6391605223657211,-0.02858055115352509,-0.053665995832888,0.044982530364927054,False
thermal_noise_002,smoke_iou_A001_A047,201,0.6696368857896391,0.6757062839465261,0.6392692946419951,0.6962607432501671,0.006069398156887007,-0.03036759114764398,0.05092205045128495,False
thermal_noise_002,smoke_iou_A001_A047,202,0.6564417742446463,0.6195282053542426,0.6311107493075536,0.6615046114261484,-0.03691356889040376,-0.025331024937092717,0.0673074310089985,False
thermal_noise_002,selection_score_S_record_only,200,0.763781012089281,0.7050251028530872,0.678341166933875,0.6798266976411782,-0.05875590923619378,-0.08543984515540592,0.060241439943496955,False
thermal_noise_002,selection_score_S_record_only,201,0.7726925573800534,0.7155659921339848,0.7106203692836054,0.7237298467497989,-0.05712656524606863,-0.06207218809644799,0.07023604271226214,False
thermal_noise_002,selection_score_S_record_only,202,0.7428947717738748,0.6413125157735463,0.6492175924572836,0.6746960200036476,-0.10158225600032844,-0.09367717931659114,0.12706068354669242,False
thermal_noise_002,three_class_miou_A001_A047_record_only,200,0.7889701112405559,0.7464004728669502,0.7336004890942804,0.7318454005307246,-0.04256963837360572,-0.0553696221462755,0.04081454981004984,False
thermal_noise_002,three_class_miou_A001_A047_record_only,201,0.7971279696027104,0.757473372593139,0.7486116313138719,0.7666696498877699,-0.03965459700957141,-0.0485163382888385,0.05771261558346941,False
thermal_noise_002,three_class_miou_A001_A047_record_only,202,0.7715522799279539,0.7069687967498168,0.7137274820598327,0.7359723239801501,-0.06458348317813711,-0.057824797868121225,0.0868283250984545,False
thermal_noise_002,fire_heat_iou_A001_A047_record_only,200,0.8304610215890001,0.7645158947889633,0.7374455483031974,0.7232333450142614,-0.06594512680003684,-0.09301547328580273,0.051732923511100815,False
thermal_noise_002,fire_heat_iou_A001_A047_record_only,201,0.8613182900215404,0.7579146851740657,0.7836687983705692,0.7505501395014085,-0.10340360484747468,-0.07764949165097113,0.07028494597831392,False
thermal_noise_002,fire_heat_iou_A001_A047_record_only,202,0.808354776455452,0.6747504360807844,0.6729106562373719,0.7097885900478762,-0.1336043403746675,-0.13544412021808006,0.1704822741851718,False
thermal_noise_002,fire_heat_iou_full134_record_only,200,0.8511374851913549,0.7622062178724923,0.7339237907134312,0.7204928729166351,-0.08893126731886258,-0.11721369447792374,0.07550034952206652,False
thermal_noise_002,fire_heat_iou_full134_record_only,201,0.8757482289704678,0.7554257003214435,0.7819714439252158,0.7511989502494308,-0.12032252864902426,-0.093776785045252,0.08955003497323932,False
thermal_noise_002,fire_heat_iou_full134_record_only,202,0.8293477693031032,0.66309682619285,0.6673244356070137,0.6878874285811468,-0.16625094311025312,-0.16202333369608946,0.18681393608438623,False
thermal_noise_005,smoke_iou_A001_A047,200,0.5258614766683678,0.613600507710341,0.38372975222787453,0.6135358311217585,0.08773903104197323,-0.14213172444049327,0.1420670478519107,False
thermal_noise_005,smoke_iou_A001_A047,201,0.48601065896338097,0.6465901128261182,0.5525718174156493,0.6754495062253643,0.16057945386273725,0.06656115845226834,-0.03770176505302231,False
thermal_noise_005,smoke_iou_A001_A047,202,0.5013595648837872,0.584403588244126,0.4635766765419822,0.6205651111262486,0.08304402336033878,-0.03778288834180499,0.07394441122392759,False
thermal_noise_005,selection_score_S_record_only,200,0.6673618647151436,0.6970973193444869,0.5748337938710036,0.6803918600808231,0.02973545462934335,-0.09252807084413994,0.0758226115804761,False
thermal_noise_005,selection_score_S_record_only,201,0.6756913039355906,0.7089867342772406,0.6722245620452421,0.7165977735184639,0.033295430341649945,-0.003466741890348568,0.011077781131571873,False
thermal_noise_005,selection_score_S_record_only,202,0.6615012562087355,0.6334547617703633,0.5855566879995765,0.6635245066940803,-0.02804649443837215,-0.07594456820915896,0.1060143131328759,False
thermal_noise_005,three_class_miou_A001_A047_record_only,200,0.7098047453218896,0.735359632534019,0.6419674006998111,0.7269097252398247,0.025554887212129396,-0.06783734462207858,0.05938743732788421,False
thermal_noise_005,three_class_miou_A001_A047_record_only,201,0.7175836070920524,0.7493675412484497,0.714654958968207,0.758222216991083,0.03178393415639735,-0.002928648123845412,0.011783323866478734,False
thermal_noise_005,three_class_miou_A001_A047_record_only,202,0.7020670633511804,0.6979857210704588,0.654324978690281,0.7219284229590744,-0.004081342280721656,-0.047742084660899464,0.07168478654951516,False
