arm,seed,clean_smoke_iou,clean_background_iou,clean_miou_record_only,clean_S_record_only,clean_fire_full134_record_only,no_fire_joint_fp,thermal_noise_002_smoke_iou,thermal_noise_002_S_record_only,thermal_noise_005_smoke_iou,thermal_noise_005_S_record_only,thermal_noise_010_smoke_iou,thermal_noise_010_S_record_only,thermal_zero_smoke_iou,thermal_zero_S_record_only,rgb_zero_smoke_iou,rgb_zero_S_record_only,deploy_parameters,gmacs_proxy,gmacs_change_percent,formal_latency_status
S3,200,0.6646640550194052,0.8390807822549625,0.7387638183328132,0.687690360267474,0.710716665515543,5.365862165178572e-05,0.6104168647405162,0.6641076694630502,0.49356722651099216,0.6221179883277641,0.25096575535967314,0.44538274922616006,0.6604459383300773,0.33025530761403155,0.11626666875493592,0.3980434851572027,7465475,7.419959808,-0.6820348845218036,DEFERRED_BY_AUTHORIZATION
S3,201,0.6777151515353838,0.8415878366299943,0.7605529075720251,0.7235994709098226,0.7694837902842613,0.00021512276785714285,0.6393375541477528,0.7055203387093689,0.5339861110858324,0.6530725602303236,0.33165991096043357,0.5295407181502141,0.6447012654631072,0.3223706945295019,0.2516105354361999,0.21438038403691495,7465475,7.419959808,-0.6820348845218036,DEFERRED_BY_AUTHORIZATION
S3,202,0.6867776732367941,0.8455069750765233,0.7326047702445282,0.667409319890006,0.6480409665432176,6.991141183035714e-05,0.6578337881120774,0.6582627196836792,0.4246264576294145,0.5606423520456089,0.13738421501696915,0.4282192142794128,0.6885449265751796,0.3444457669839459,0.4126518686355469,0.4794186982785865,7465475,7.419959808,-0.6820348845218036,DEFERRED_BY_AUTHORIZATION
S4,200,0.6903537289547476,0.8487812939992452,0.7485673015461474,0.6958017912080617,0.7012498534613758,0.0001718226841517857,0.6504941740389872,0.6824208983043214,0.5438588901153155,0.646261160173047,0.24116971869597212,0.4486737178679527,0.6537102493522404,0.326953346985453,0.28047997712611433,0.4920363042418344,7361059,7.134427648,-4.503952231789884,DEFERRED_BY_AUTHORIZATION
S4,201,0.6715680944014638,0.8359374416307487,0.7537395945032088,0.7118116817044976,0.7520552690075315,0.0007882254464285714,0.6403510064262622,0.6988576061000463,0.5630590107769384,0.6679557483996863,0.36334808530299745,0.5444239177949435,0.6594429260894179,0.3297440652762297,0.02143711741709131,0.19521728318289985,7361059,7.134427648,-4.503952231789884,DEFERRED_BY_AUTHORIZATION
S4,202,0.6705676273174779,0.8377443881420185,0.7298577626565513,0.6644140523484653,0.6582604773794528,0.0015418352399553573,0.6370495977224614,0.6541203248331192,0.5326443471141871,0.6183234971977353,0.32643994972274587,0.5248307054604929,0.685961363190683,0.34299500244238457,0.014585251282899466,0.26042372703584327,7361059,7.134427648,-4.503952231789884,DEFERRED_BY_AUTHORIZATION
S6,200,0.6990628216909571,0.862289463572273,0.7630699997788107,0.7142969354737199,0.7295310492564824,0.0005192173549107143,0.6131515890070096,0.6762562445038487,0.40440627260069517,0.582461150029463,0.1460845322117399,0.4163846540849505,0.6936752879215108,0.3470881441063615,0.26335837200823575,0.39095407786204806,7771651,8.225888768,10.105520089634954,DEFERRED_BY_AUTHORIZATION
S6,201,0.6707718489747053,0.8320639442823129,0.7624027579495708,0.7292766303182887,0.7877814116618721,2.8459821428571433e-05,0.6334035690092291,0.7155272505482911,0.5301554140792408,0.6707327166781406,0.3209483913546219,0.5335572528051168,0.6510106289805085,0.3255073281686222,0.2792202325087734,0.49370678421109326,7771651,8.225888768,10.105520089634954,DEFERRED_BY_AUTHORIZATION
S6,202,0.6825016097803749,0.8512708166039958,0.7618012294507114,0.715486055207942,0.748470500635509,1.9374302455357144e-05,0.640670210948741,0.6971079327448393,0.5230438960368715,0.6477158866762602,0.21421655184149557,0.49131619933805776,0.7097709990147878,0.3548856832647166,0.022469936133873943,0.11040910667440942,7771651,8.225888768,10.105520089634954,DEFERRED_BY_AUTHORIZATION
R1,200,0.6570712741745911,0.8300218710876335,0.7492316842245442,0.7058151407811245,0.7545590073876577,0.000779541015625,0.647843987833682,0.7050251028530872,0.613600507710341,0.6970973193444869,0.5651454425098534,0.6571366032320032,0.6113731339517544,0.3117331684776553,0.044897629676703694,0.3591748837142971,7623939,7.470914048,0.0,DEFERRED_BY_AUTHORIZATION
